,Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves,locc_,book_url
14,15,Text,1991-05-01,"Moby-Dick; or, The Whale",en,"Melville, Herman, 1819-1891","Whaling -- Fiction; Sea stories; Psychological fiction; Ship captains -- Fiction; Adventure stories; Mentally ill -- Fiction; Ahab, Captain (Fictitious character) -- Fiction; Whales -- Fiction; Whaling ships -- Fiction",PS,Best Books Ever Listings; Adventure,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/15/15-0.txt
18,19,Text,2004-06-01,The Song of Hiawatha,en,"Longfellow, Henry Wadsworth, 1807-1882; Morris, Woodrow W. [Editor]","Indians of North America -- Poetry; Hiawatha, active 15th century -- Poetry; Iroquois Indians -- Kings and rulers -- Poetry",PS,Children's Literature; Poetry; Native America,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/19/19-0.txt
23,24,Text,2008-06-27,O Pioneers!,en,"Cather, Willa, 1873-1947",Nebraska -- Fiction; Historical fiction; Frontier and pioneer life -- Nebraska -- Fiction; Domestic fiction; Siblings -- Fiction; Farm life -- Fiction; Women pioneers -- Fiction; Women farmers -- Fiction; Women immigrants -- Fiction; Swedish Americans -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/24/24-0.txt
31,32,Text,2008-06-27,Herland,en,"Gilman, Charlotte Perkins, 1860-1935",Utopias -- Fiction; Women -- Fiction; Utopian fiction; Black humor,PS,Best Books Ever Listings,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/32/32-0.txt
32,33,Text,1992-06-01,The Scarlet Letter,en,"Hawthorne, Nathaniel, 1804-1864","Adultery -- Fiction; Historical fiction; Revenge -- Fiction; Psychological fiction; Married women -- Fiction; Clergy -- Fiction; Triangles (Interpersonal relations) -- Fiction; Illegitimate children -- Fiction; Women immigrants -- Fiction; Puritans -- Fiction; Boston (Mass.) -- History -- Colonial period, ca. 1600-1775 -- Fiction",PS,Harvard Classics; Movie Books,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/33/33-0.txt
40,41,Text,2008-06-27,The Legend of Sleepy Hollow,en,"Irving, Washington, 1783-1859",Ghosts -- Fiction; New York (State) -- History -- 1775-1865 -- Fiction,PS,Children's Literature; Harvard Classics,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/4/41/41-0.txt
43,44,Text,2008-06-27,The Song of the Lark,en,"Cather, Willa, 1873-1947",Musical fiction; Young women -- Fiction; Bildungsromans; Chicago (Ill.) -- Fiction; Swedish Americans -- Fiction; Colorado -- Fiction; Opera -- Fiction; Children of clergy -- Fiction; Women singers -- Fiction,PS,Opera,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/4/44/44-0.txt
61,62,Text,1993-04-01,A Princess of Mars,en,"Burroughs, Edgar Rice, 1875-1950","Science fiction; Mars (Planet) -- Fiction; Princesses -- Fiction; Carter, John (Fictitious character) -- Fiction; Dejah Thoris (Fictitious character) -- Fiction",PS,Best Books Ever Listings; Science Fiction,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/6/62/62-0.txt
63,64,Text,1993-05-01,The Gods of Mars,en,"Burroughs, Edgar Rice, 1875-1950","Science fiction; Mars (Planet) -- Fiction; Life on other planets -- Fiction; Carter, John (Fictitious character) -- Fiction; Dejah Thoris (Fictitious character) -- Fiction",PS,Science Fiction,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/6/64/64-0.txt
67,68,Text,1993-06-01,The warlord of Mars,en,"Burroughs, Edgar Rice, 1875-1950","Science fiction; Mars (Planet) -- Fiction; Carter, John (Fictitious character) -- Fiction; Dejah Thoris (Fictitious character) -- Fiction",PS,Science Fiction,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/6/68/68-0.txt
69,70,Text,2004-09-13,What Is Man? and Other Essays,en,"Twain, Mark, 1835-1910",American essays,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/7/70/70-0.txt
70,71,Text,1993-06-01,On the Duty of Civil Disobedience,en,"Thoreau, Henry David, 1817-1862","Civil disobedience; Government, Resistance to",HM; PS,,"['HM', 'PS']",http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/7/71/71-0.txt
71,72,Text,1993-07-01,"Thuvia, Maid of Mars",en,"Burroughs, Edgar Rice, 1875-1950",Science fiction; Martians -- Fiction; Mars (Planet) -- Fiction,PS,Science Fiction,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/7/72/72-0.txt
72,73,Text,1993-07-01,The Red Badge of Courage: An Episode of the American Civil War,en,"Crane, Stephen, 1871-1900","Historical fiction; War stories; United States -- History -- Civil War, 1861-1865 -- Fiction; Virginia -- History -- Civil War, 1861-1865 -- Fiction; Chancellorsville, Battle of, Chancellorsville, Va., 1863 -- Fiction",PS,"US Civil War; Historical Fiction; Best Books Ever Listings; Bestsellers, American, 1895-1923",['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/7/73/73-0.txt
73,74,Text,2004-07-01,"The Adventures of Tom Sawyer, Complete",en,"Twain, Mark, 1835-1910","Humorous stories; Bildungsromans; Boys -- Fiction; Male friendship -- Fiction; Adventure stories; Missouri -- Fiction; Sawyer, Tom (Fictitious character) -- Fiction; Child witnesses -- Fiction; Runaway children -- Fiction; Mississippi River Valley -- Fiction",PS,Banned Books from Anne Haight's list; Banned Books List from the American Library Association,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/7/74/74-0.txt
75,76,Text,2004-06-29,Adventures of Huckleberry Finn,en,"Twain, Mark, 1835-1910; Kemble, E. W. (Edward Windsor), 1861-1933 [Illustrator]","Humorous stories; Bildungsromans; Boys -- Fiction; Male friendship -- Fiction; Adventure stories; Missouri -- Fiction; Race relations -- Fiction; Runaway children -- Fiction; Finn, Huckleberry (Fictitious character) -- Fiction; Fugitive slaves -- Fiction; Mississippi River -- Fiction",PS,Best Books Ever Listings; Banned Books from Anne Haight's list; Banned Books List from the American Library Association,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/7/76/76-0.txt
76,77,Text,1993-08-01,The House of the Seven Gables,en,"Hawthorne, Nathaniel, 1804-1864",Historical fiction; Domestic fiction; Paranormal fiction; Haunted houses -- Fiction; Salem (Mass.) -- Fiction,PS,Best Books Ever Listings,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/7/77/77-0.txt
77,78,Text,1993-08-01,Tarzan of the Apes,en,"Burroughs, Edgar Rice, 1875-1950",Tarzan (Fictitious character) -- Fiction; Africa -- Fiction; Fantasy fiction; Adventure stories; British -- Africa -- Fiction; Wild men -- Fiction,PS,Movie Books; Adventure,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/7/78/78-0.txt
80,81,Text,1993-09-01,The Return of Tarzan,en,"Burroughs, Edgar Rice, 1875-1950",Tarzan (Fictitious character) -- Fiction; Fantasy fiction; Adventure stories,PZ; PS,,"['PZ', 'PS']",http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/8/81/81-0.txt
84,85,Text,1993-10-01,The Beasts of Tarzan,en,"Burroughs, Edgar Rice, 1875-1950",Tarzan (Fictitious character) -- Fiction; Fantasy fiction; Jungle animals -- Fiction; Adventure stories,PZ; PS,Movie Books; Adventure,"['PZ', 'PS']",http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/8/85/85-0.txt
85,86,Text,2004-07-07,A Connecticut Yankee in King Arthur's Court,en,"Twain, Mark, 1835-1910",Fantasy fiction; Satire; Knights and knighthood -- Fiction; Arthurian romances -- Adaptations; Time travel -- Fiction; Americans -- Great Britain -- Fiction; Kings and rulers -- Fiction; Britons -- Fiction,PS,Precursors of Science Fiction; Arthurian Legends,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/8/86/86-0.txt
89,90,Text,1993-11-01,The Son of Tarzan,en,"Burroughs, Edgar Rice, 1875-1950",Tarzan (Fictitious character) -- Fiction; Fantasy fiction; Adventure stories,PZ; PS,Adventure; Movie Books; Contemporary Reviews,"['PZ', 'PS']",http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/9/90/90-0.txt
90,91,Text,2004-09-14,Tom Sawyer Abroad,en,"Twain, Mark, 1835-1910","Adventure stories; Sawyer, Tom (Fictitious character) -- Fiction; Balloon ascensions -- Fiction; Americans -- Foreign countries -- Fiction",PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/9/91/91-0.txt
91,92,Text,1993-12-01,Tarzan and the Jewels of Opar,en,"Burroughs, Edgar Rice, 1875-1950",Tarzan (Fictitious character) -- Fiction; Fantasy fiction; Adventure stories,PS,Movie Books; Adventure,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/9/92/92-0.txt
92,93,Text,2004-09-14,"Tom Sawyer, Detective",en,"Twain, Mark, 1835-1910","Sawyer, Tom (Fictitious character) -- Fiction; Mystery fiction",PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/9/93/93-0.txt
93,94,Text,2006-03-08,Alexander's Bridge,en,"Cather, Willa, 1873-1947",Civil engineers -- Fiction; London (England) -- Fiction; Psychological fiction; Married people -- Fiction; Boston (Mass.) -- Fiction; Mistresses -- Fiction; Bridges -- Design and construction -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/9/94/94-0.txt
95,96,Text,1994-01-01,The Monster Men,en,"Burroughs, Edgar Rice, 1875-1950",Science fiction; Fantasy fiction,PS,Science Fiction,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/9/96/96-0.txt
101,102,Text,2004-09-14,The Tragedy of Pudd'nhead Wilson,en,"Twain, Mark, 1835-1910",Impostors and imposture -- Fiction; Missouri -- Fiction; Trials (Murder) -- Fiction; Legal stories; Race relations -- Fiction; Infants switched at birth -- Fiction; Passing (Identity) -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/0/102/102-0.txt
105,106,Text,1994-02-01,Jungle Tales of Tarzan,en,"Burroughs, Edgar Rice, 1875-1950",Tarzan (Fictitious character) -- Fiction; Africa -- Fiction; Fantasy fiction; Jungles -- Fiction; Adventure stories; Apes -- Fiction,PZ; PS,Movie Books; Adventure,"['PZ', 'PS']",http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/0/106/106-0.txt
108,109,Text,1994-02-01,"Renascence, and Other Poems",en,"Millay, Edna St. Vincent, 1892-1950",American poetry,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/0/109/109.txt
110,111,Text,2006-03-08,Freckles,en,"Stratton-Porter, Gene, 1863-1924",Orphans -- Fiction; People with disabilities -- Fiction; Indiana -- Fiction; Swamps -- Fiction,PZ; PS,,"['PZ', 'PS']",http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/1/111/111-0.txt
111,112,Text,1994-03-01,Violists,en,"McGowan, Richard, 1958-",Short stories; Love stories; Fathers and daughters -- Fiction; Violists -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/1/112/112.txt
118,119,Text,2004-06-19,A Tramp Abroad,en,"Twain, Mark, 1835-1910",Humorous stories; Europe -- Fiction; Americans -- Europe -- Fiction; Walking -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/1/119/119-0.txt
122,123,Text,1994-04-01,At the Earth's Core,en,"Burroughs, Edgar Rice, 1875-1950",Science fiction; Fantasy fiction; Adventure stories; Earth (Planet) -- Core -- Fiction,PS,Science Fiction,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/2/123/123-0.txt
124,125,Text,2006-03-08,A Girl of the Limberlost,en,"Stratton-Porter, Gene, 1863-1924",Didactic fiction; Indiana -- Fiction; Domestic fiction; Bildungsromans; Mothers and daughters -- Fiction; Girls -- Fiction; Conflict of generations -- Fiction; Swamps -- Fiction; Moths -- Fiction,PZ; PS,,"['PZ', 'PS']",http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/2/125/125-0.txt
132,133,Text,2006-03-08,The Damnation of Theron Ware,en,"Frederic, Harold, 1856-1898",Psychological fiction; Clergy -- Fiction; New York (State) -- Fiction; Belief and doubt -- Fiction; Methodists -- Fiction,PS,"Bestsellers, American, 1895-1923",['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/3/133/133.txt
139,140,Text,2006-03-11,The Jungle,en,"Sinclair, Upton, 1878-1968",Meat industry and trade -- Fiction; Working class -- Fiction; Political fiction; Lithuanian Americans -- Fiction; Stockyards -- Fiction; Immigrants -- Fiction; Chicago (Ill.) -- Fiction,PS,"Contemporary Reviews; Bestsellers, American, 1895-1923; Banned Books from Anne Haight's list; Banned Books List from the American Library Association",['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/4/140/140-0.txt
141,142,Text,2004-09-14,"The $30,000 Bequest, and Other Stories",en,"Twain, Mark, 1835-1910","Short stories; Humorous stories, American; United States -- Social life and customs -- Fiction",PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/4/142/142-0.txt
148,149,Text,1994-07-01,The Lost Continent,en,"Burroughs, Edgar Rice, 1875-1950",Science fiction; Fantasy fiction; England -- Fiction,PS,Science Fiction,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/4/149/149-0.txt
151,152,Text,1994-08-01,Wild Justice,en,"Sprague, Ruth M.",Sex discrimination -- Fiction; Universities and colleges -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/5/152/152.txt
153,154,Text,1994-08-01,The Rise of Silas Lapham,en,"Howells, William Dean, 1837-1920",Psychological fiction; Domestic fiction; Boston (Mass.) -- Fiction; Rich people -- Fiction; Socialites -- Fiction; Businessmen -- Fiction,PS,Contemporary Reviews,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/5/154/154.txt
156,157,Text,1994-08-01,Daddy-Long-Legs,en,"Webster, Jean, 1876-1916",Orphans -- Fiction; Boarding schools -- Fiction; Schools -- Fiction; Young women -- Fiction; Love stories; Bildungsromans; Epistolary fiction; Women authors -- Fiction; Philanthropists -- Fiction; Women college students -- Fiction; Universities and colleges -- Fiction; Letters -- Fiction,PZ; PS,School Stories,"['PZ', 'PS']",http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/5/157/157.txt
159,160,Text,2006-03-11,"The Awakening, and Selected Short Stories",en,"Chopin, Kate, 1850-1904",Adultery -- Fiction; Women -- Louisiana -- New Orleans -- Social conditions -- Fiction; Self-actualization (Psychology) -- Fiction; New Orleans (La.) -- Fiction; Louisiana -- Social life and customs -- Fiction,PS,Banned Books from Anne Haight's list; Banned Books List from the American Library Association,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/6/160/160-0.txt
164,165,Text,2006-03-12,McTeague: A Story of San Francisco,en,"Norris, Frank, 1870-1902",Didactic fiction; Psychological fiction; Married people -- Fiction; Murderers -- Fiction; San Francisco (Calif.) -- Fiction; Avarice -- Fiction; Dentists -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/6/165/165.txt
165,166,Text,2006-03-12,Summer,en,"Wharton, Edith, 1862-1937",Young women -- Fiction; Love stories; Guardian and ward -- Fiction; Man-woman relationships -- Fiction; Berkshire Hills (Mass.) -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/6/166/166.txt
